lpr0,lpr1,lpr2,lpr3
1.4155090929051828,1.4142059553063397,1.4086415829359398,1.416754922494016
1.4047045680819978,1.41134993720703,1.3987163346634908,1.411386534506286
1.281544504592588,1.2661927530300607,1.2623528011740508,1.265975447509864
1.439346168090411,1.4418050457628588,1.4246350067904587,1.438821311439251
1.3107057119699639,1.3106010532930918,1.3096291242349358,1.3106648095206068
1.405952311926594,1.4073271495601698,1.4073689286610649,1.4067585973040868
1.370018454358059,1.3628108608518579,1.3700111037051388,1.370678445692485
1.2398056188802569,1.2419781673456978,1.291603622431063,1.2393908550329509
1.4375405577988538,1.4371199341432148,1.4365600499365638,1.4344922702975138
1.2772294838380178,1.2770069726599529,1.2759429740091819,1.2810098317640028
1.3830194865352718,1.381938384318791,1.3828230388477059,1.3854087420496588
1.3489310530935088,1.3482018540465828,1.347902327682266,1.279665909458635
1.2937160825045018,1.3142638313770187,1.307611760646716,1.3080234828361248
1.4307387821247708,1.4307472280381248,1.429328161370123,1.430881126585184
1.326441852105393,1.3266869915814588,1.326253040878964,1.327479102147374
1.351277430087357,1.3519014048614189,1.3501472146539528,1.353432323959821
1.3598144155644678,1.3585394616316748,1.3584139836672477,1.363045745399492
1.3021524561461748,1.2956612938741028,1.3022530544194888,1.3003055513999868
1.42243754638656,1.422033984104288,1.420781464471387,1.424293053127979
1.354026161139488,1.3535273993338939,1.353010395970904,1.3555337632125348
0.4932548288982548,0.49325466499121484,0.49390832092452497,0.49325813275556496
0.7022333600463498,0.7022331869141668,0.7022230163626368,0.7022374966495759
0.16377371762411497,0.16377360691223486,0.1624771840547048,0.16377187794144477
1.0959511278185148,1.0959508437083407,1.0922792684682319,1.0959582534807728
1.219812205242642,1.219812214390406,1.2140499709706698,1.2198181498866718
0.9594032729616588,0.9594029119713559,0.9597242520478618,0.9594115857661328
1.0768034321496178,1.0768030221536669,1.0767870818846599,1.0768234691285667
0.7936384008508489,0.7936382200157819,0.7920986524041118,0.7936373223194889
1.2581027886591287,1.2581022177338248,1.2559580261888748,1.258114471595091
1.304578676979173,1.3045786542887008,1.297039283971496,1.3045812385182027
1.193407842886813,1.1934070062170579,1.193399525655488,1.1934198286252249
1.2637218876311398,1.263720854653601,1.263710545127766,1.26376529465673
1.1146418148990649,1.114641385805391,1.1123920983602018,1.1146448777933329
1.341710501094142,1.3417093521403958,1.339239493147298,1.341731346026186
1.3639077791583119,1.363907322574705,1.3557736184112388,1.3639230087921719
1.2715506816868378,1.2715483838842039,1.2714257818902859,1.2715525452044618
1.322487813999435,1.3224853918277348,1.3224853965503158,1.3225351813936148
1.2186660972570018,1.2186647246782778,1.216397382353097,1.2186659185719728
1.369931982813659,1.369929350721171,1.367009507393223,1.369958850366615
1.3843557241296358,1.3843540690627147,1.374460816615579,1.3843709417150778
1.2404819287666549,1.239204479273607,1.2364727072854897,1.2365241961129338
1.2254926712120149,1.2238118256971429,1.2273261172339789,1.2318558656642518
1.236116581973656,1.23552602049512,1.2353872535700028,1.2344983229390047
1.2546321391167048,1.249160052795177,1.241077970607339,1.251918270147109
1.245454223427513,1.2486460045694008,1.2538351884260308,1.2557331127912719
1.235318367765196,1.2352120549828618,1.2395093010515839,1.2361305602311188
1.2218702766913359,1.2243557040055748,1.224356269396874,1.2244878241227788
1.23504437045953,1.234863641471397,1.2346555421968928,1.2342533570707368
1.244437191525919,1.250038941347921,1.2462247947331568,1.2473240275514947
1.2537932459050998,1.2499247266777598,1.251249069866866,1.2512419380353779
1.230166460850056,1.230166460850056,1.2300382594195187,1.228024108363574
1.2233955134289158,1.2233961189744218,1.2249792831007569,1.223646136197669
1.2386493941922199,1.237822315910055,1.2385326699417258,1.2383413998664508
1.241602957354431,1.2416026970857068,1.2424718430146457,1.24187337078846
1.2396133208622069,1.247210221638432,1.2402639045190749,1.2395628834029508
1.232489870197989,1.232489870197989,1.232472476795735,1.232486773275578
1.222984550774579,1.2229851733621668,1.219471031804045,1.2231553344105848
1.2391484615549928,1.2395160904715028,1.239504189717474,1.2394502889563588
1.2435638959911208,1.2430891242243989,1.243087909196498,1.2449582180255978
1.246960603570579,1.247274644139238,1.2485663680467158,1.2462764580473669
1.4738256444388993,1.473805867902227,1.4734758934669108,1.473859617460054
1.4816119847867617,1.4815689303213198,1.4806335134226063,1.481724259923003
1.4253999897754408,1.4253563493265669,1.4247451755919058,1.425516530320778
1.4657642957452985,1.4657085640146243,1.465267935583698,1.465876229529016
1.4023096876147378,1.4022854139989538,1.4013837247394219,1.402513703297049
1.4676323615719864,1.4676093542468986,1.4672200860214744,1.467675878434337
1.4740019274946594,1.4739211966585057,1.4730827243122218,1.4741971490335635
1.4274469297774808,1.4273707642913078,1.4268369360763808,1.4276313836124068
1.469145610012538,1.4690291552277732,1.4686083426354155,1.4695097177289476
1.4123981096054739,1.412348336400398,1.41148803129035,1.412774246778533
1.4719115675841667,1.4718647612976823,1.4715499401380328,1.4720411761407965
1.4687383295163616,1.4685842450201825,1.4679304676337779,1.4691286635256469
1.4308917201941258,1.4307828962250129,1.4304707326448258,1.4311170306459198
1.4758631471860864,1.4756937075931733,1.4753633197653695,1.4764720191800504
1.419140780097616,1.4190075420972939,1.418159138808389,1.4199938221505948
1.4739346361621248,1.4738338244075364,1.4735247402896405,1.4742458110167422
1.4585304299816244,1.4582628115305525,1.45773047450782,1.4591336473535097
1.4402793085544108,1.440189670753654,1.4400348148152529,1.440067656375963
1.4756598992652632,1.4755082338831593,1.475302048641638,1.4758945071619365
1.4221051742541269,1.4218739999299927,1.421105954260324,1.4234155644596418
1.3304439913652228,1.3307993791868737,1.328160867867263,1.3312238343406118
1.2885937827592748,1.2886963767128408,1.284984157737565,1.2869953398926928
1.291709864477546,1.2913322309452298,1.290329609547869,1.2925592139831679
1.2489884981255068,1.248730851451148,1.2472825175516278,1.2494258431300198
1.3320268839777738,1.3326333976097569,1.3284613655235498,1.3330635563634268
1.341396735568655,1.3406246426209658,1.3378447596837169,1.3412285715326748
1.2616749821533009,1.2604339479321738,1.257429541968479,1.261929531674737
1.2696537888037338,1.2691592776663247,1.2677455590663578,1.2692007684976419
1.2552052949344987,1.254664993675454,1.2527790546578979,1.2554299708244319
1.2948408112529808,1.294446413415614,1.2923399213347349,1.295475244180687
1.3260388318028509,1.3243288441869068,1.32171959768072,1.3244328710946958
1.2992197298737398,1.2976988005734909,1.2955715128438818,1.3008420208472318
1.2513616932477079,1.253952042469851,1.2522595998538648,1.253071016037253
1.2646169842732429,1.2632583560108068,1.2611837552741139,1.2638713640626738
1.2868012809191138,1.28599606297478,1.2842299154922778,1.2872213631429728
1.299821512639837,1.297732782188211,1.2958448558442939,1.2962836680401688
1.2716977145506738,1.269993785739696,1.2689833675366449,1.2739347369514409
1.2692720435164029,1.270356889500063,1.2689453662623817,1.2705115399899698
1.244502805957529,1.243505502222126,1.1940514745716928,1.244712468953642
1.283350561059995,1.2822929200006699,1.2813966027117938,1.283673416665212
1.364710674861865,1.3492657105295558,1.3503711924342128,1.3532464573320349
1.4600789540034709,1.4599109543530069,1.459413394093826,1.4604334453239325
1.388765353307242,1.387020185898563,1.385806906966062,1.3873962324143427
1.4339378628844988,1.435747057653781,1.433770584222254,1.436283979004891
1.4380918341394469,1.4380163776158579,1.437969166419223,1.4415682785630848
1.365559133911428,1.3625423542061488,1.362717779594882,1.373045349672522
1.4381504584159839,1.4382485385688788,1.435729375949205,1.4253958597769207
1.4031013247848638,1.4028818234517029,1.4023976301121628,1.399693624313269
1.4389599457403288,1.434807169684794,1.4387190040696838,1.4395716559906069
1.4428666574595308,1.441835907325805,1.4426759859645268,1.443400929367178
1.389185635826433,1.3886906816073368,1.395654899477328,1.3922374005929727
1.4302881824405238,1.4294746108214929,1.429328361502567,1.431578579124599
1.37824351352116,1.3777868753258598,1.3784087439589467,1.3793238923243518
1.4325329294881188,1.4306606508552708,1.430473169587472,1.4339709300369268
1.4370999638253459,1.437731741246515,1.4372530890788078,1.4407736492441308
1.3828010708409217,1.3854619719958179,1.3854871292642108,1.3889556206018818
1.4252062672785988,1.424354904356078,1.42423373289271,1.42751382323281
1.3781201466404709,1.3771888563102708,1.3769858524778429,1.380715095239417
1.417106517978076,1.4154136355704208,1.415803468330033,1.4190204434784888
1.4242263107452138,1.4232409452863488,1.423340871186805,1.3692617347761398
1.413867923394532,1.4138583077785338,1.4136921864399978,1.4139545767492407
1.4481694117335588,1.4481618367640299,1.4480628925465457,1.4483009124567428
1.4307400176294138,1.430741335462237,1.430659965783528,1.430706958244995
1.4279178622857398,1.413347256494044,1.4276684420108858,1.428231193680915
1.4636131601807223,1.463574600820154,1.463380032224764,1.464029420878689
1.430134254409238,1.4301148724274089,1.429943239834624,1.4303654346467758
1.4459985231257528,1.4459854276068649,1.4458501303988858,1.446351537821151
1.4316936676395748,1.431693362780663,1.4316729269754729,1.4313770822892138
1.3813088459948468,1.3804321954848138,1.3811945607258278,1.38083980295538
1.4425136647079528,1.442461546529674,1.4422952013654649,1.4430816595264928
1.4428236050877228,1.4427626852602138,1.4425607198389399,1.443067002625031
1.4470740571883158,1.4470621315898629,1.446986326104536,1.44750959855699
1.439278513215792,1.439273612983133,1.4391984122385328,1.439459741380242
1.3885387908738869,1.3884838661649799,1.3882413673561198,1.3895360890669328
1.4344557323263518,1.4343420220828609,1.434188028265498,1.4360483427358388
1.4389487153272178,1.4388211890060638,1.4386138105540378,1.4401554464664599
1.439341589718556,1.439186568932791,1.4391412983290408,1.4403390185015938
1.43379761181037,1.433851284697346,1.433592748519847,1.434516479591969
1.3715201280038989,1.3715122528005939,1.3700773278651108,1.374159583431766
1.415869695420259,1.415689127191782,1.4155559171074898,1.4189688212937819
1.4470473319097208,1.447592025184463,1.4524947186776478,1.4466215079953468
1.4202849320242508,1.424896494333257,1.425812722855129,1.421164212941656
1.4414222280063058,1.4313883914892558,1.4403439307413648,1.438042887822002
1.4360715948385159,1.4392033970433438,1.4368309254755849,1.4367557743022128
1.4463262697615509,1.4487847005509469,1.4514659019285978,1.4508841020711558
1.4566447099763145,1.4540997160262712,1.4459124494107858,1.4568677364504765
1.42983007521778,1.4275849061778698,1.431938566573374,1.4291163972396939
1.4467382337239818,1.449193948370569,1.449138583012861,1.4463082348444578
1.4413378911459118,1.4431103478606238,1.4429346401200378,1.440953189328172
1.4518321985253473,1.451289391033269,1.4479091576894878,1.452408931905427
1.4589563093501774,1.4460963308211139,1.4580474834130808,1.4549620045247198
1.4349976606003128,1.4338630775994268,1.4335822515425578,1.43251171161607
1.4543034602411933,1.4536939995808942,1.4524095607585326,1.4510440743908288
1.446356331142815,1.445206660559745,1.4483594827453028,1.4470199570441578
1.4539849126100424,1.4548189558054527,1.452663872418109,1.4538046340070423
1.4503022035789288,1.453086087213163,1.45052525698093,1.44931975656951
1.434432871493371,1.4354176981677669,1.4318124002740988,1.4338604351529658
1.4538538214065693,1.4547454942661062,1.4544466538768304,1.4545543328433066
1.449291190136123,1.446137250414954,1.4486395224213338,1.451174638599655
1.4525205863741653,1.4416764867477228,1.4440575362615489,1.4532764926008785
1.399224822353443,1.393649909081006,1.3971214333315798,1.3818069953749998
1.4046273115864139,1.404447445638271,1.3749636584956058,1.4047384801084808
1.44039943837992,1.4337021682342108,1.4311907021970758,1.433620747099651
1.4144991783736889,1.4144252086241018,1.4131136076781519,1.414635287105772
1.3597652627601529,1.351322987062265,1.3494111422087698,1.350820987323332
1.3749111289009128,1.3746201476946338,1.3599245131203128,1.3749555494708408
1.4118064307662008,1.4116020492343808,1.4087651774092649,1.4103747085827278
1.420115975209017,1.4198609423094348,1.4179254371171208,1.4196771937406538
1.412350765777233,1.385085319627577,1.414163479115628,1.403947024325309
1.3576197746546428,1.3659731079836948,1.355072818896044,1.3604011993502918
1.380842856517812,1.3639639150928338,1.3745257467750198,1.3630062503718818
1.377882852101497,1.3778126468428389,1.3756625828339049,1.363360516316613
1.4029828425337287,1.40245424161887,1.4005663084215219,1.4021505889074728
1.418513552703681,1.397971565918603,1.4270351592835848,1.4288878680405568
1.3455787390013167,1.346615873513464,1.3648679580003598,1.3470479716475108
1.3955567589095088,1.380000275924797,1.3776668384928528,1.394967555531693
1.376880989078958,1.372793449623788,1.3618720916304619,1.376388783915614
1.409556188260454,1.409708675557408,1.4072039778299859,1.407910395250603
1.4326966352608488,1.4005822123416878,1.431389805935655,1.430101901277084
1.3514621104141438,1.3688034791619739,1.370920108525406,1.3509469417566748
1.4122547388494329,1.4125209675358588,1.412258220965762,1.4126694690075288
1.4257076032818328,1.425675449909087,1.4255002563371348,1.425813206588793
1.428901607152475,1.4288686344995878,1.428698253314269,1.429033673349528
1.4513088724156789,1.4512823505439558,1.451128660324665,1.4514168679483648
1.4289233260006617,1.4289075562912688,1.428693653884994,1.4289979830969979
1.4246710951131398,1.4249757618267498,1.424297810464271,1.424960639330881
1.435431315919785,1.435364177564978,1.4351773507269938,1.43587268010584
1.4344166785229548,1.4343490755147208,1.434159787655061,1.4347125595195258
1.45189507554967,1.4518381852994309,1.4516304469336403,1.452161395500189
1.44619917441038,1.4461705239073508,1.4459859841212648,1.4463760559318468
1.4272763496153158,1.427179642993643,1.426843738934194,1.428101642834359
1.4394339426295408,1.4387267503379928,1.438569196764999,1.4402083669744858
1.4312277642537259,1.431518366096223,1.4310934918804838,1.432280416820565
1.4543630971257753,1.4542275462460805,1.45407229836188,1.4550776427972152
1.4544094497228355,1.4543509793998428,1.454207880554154,1.454878267219916
1.4154951893340828,1.415356163511163,1.415036642169286,1.415677552232767
1.428825003162346,1.4286075617012748,1.4284609921592,1.430106850721233
1.4203872029406468,1.420268965139669,1.419962986774974,1.4219139822015079
1.4436254341761918,1.4433503971569068,1.443212251319757,1.444992712473787
1.4472278492962258,1.4471377822597238,1.4470068515789278,1.447934756667531
1.4058635114246019,1.44766076731999,1.377353583600564,1.4403305613560968
1.465048421973782,1.3210799276285599,1.335327604158356,1.4196602339887778
1.38885750308412,1.2618789392127099,1.429641413514438,1.4481128998369428
1.4084596413299217,1.416118242421637,1.439279562906946,1.40944080443169
1.4538336571682817,1.4018002080509178,1.4174458236017218,1.4510272037567549
1.442759643444755,1.4411089686356469,1.4672655563666097,1.4360618723415948
1.380596015244378,1.3587459702968538,1.355381827579671,1.319422682433759
1.402094424436216,1.3016944273724769,1.394136759292924,1.2921714281199268
1.4124724683558498,1.450174891909402,1.3869782046942918,1.4358741446794068
1.4547340271374323,1.4252811150930218,1.3453017786885388,1.3677547988065648
1.3920985720547299,1.4182856358991618,1.4358460303021938,1.442671119826968
1.4347158358870349,1.4025855253276418,1.3963188145654748,1.412057731668172
1.2892167504326628,1.3299094410504708,1.3200857089858018,1.39965641070817
1.4228529390814788,1.4091547196421739,1.4323536929877358,1.4245180916804698
1.3879765583064319,1.3611073248743069,1.3329426732653458,1.4184347229142549
1.3545838464703719,1.4639624507857762,1.375788799321756,1.37875583838206
1.4293121391585288,1.4116258929712449,1.4223697509181479,1.4441882566614448
1.3684661196029808,1.297472191425434,1.3105432391037388,1.347654988229734
1.4029756536459719,1.4243438684843888,1.429718025439295,1.3688942115533558
1.428253065059751,1.4094730014040018,1.4187226810852398,1.419948065734332
0.49730446552190477,0.9703506004717228,0.9724911792435189,0.5130871599768749
1.2524239371781198,1.2690994020546928,1.44802701458261,1.439246928933788
1.4399242228758609,1.451642632986485,1.4526990050959399,1.4365189342199058
0.8030131970245079,1.4331034599532229,1.3623417780039468,1.280822409957676
1.4523198592379056,1.4362343577669279,1.2045996877592369,1.4293622472143088
1.4583501382815443,1.4346082168099559,1.418044401017405,1.4269143766342958
1.4544135808026917,1.2093003192817728,1.3181136136166878,1.410211670350835
1.423063009025364,1.2273345571230638,0.9521304403010339,1.2321073785073438
1.2371747317766397,1.3934688455906779,1.2144286289260688,1.4167752994096459
1.407411194145823,1.433962328838417,1.4300039303594239,1.3939002327588979
1.4529610202202277,1.4429291761138539,1.3067968427116299,1.433160840208581
1.327345943600411,1.4598990591860639,1.3616089536984448,1.3996634036575848
1.2519589960311748,1.4068277334536539,1.289974960538469,1.4002310806846507
1.2939129699887149,1.2815219363761168,1.360640656008989,1.3983201175136768
1.397303042327283,1.4141243354333108,1.42739259084119,1.347410827365976
1.254004045990226,1.4124181157395268,1.3707793262570769,1.346560051042034
1.2969967404738758,1.3486919316412378,1.3567812944908728,1.30116182626757
1.2899131501210628,1.339880247344155,1.2310656567135307,1.1801904362990279
1.3644111038172808,1.3456771516504449,1.3868661376070979,1.2722803411026529
1.3319359507122148,1.2777628454987469,1.3337040223795948,1.3007687844281468
1.2718547582832858,1.2552287148423018,1.1969887099566068,1.238861781811294
1.255753092002022,1.258570405365626,1.2480621620126198,1.254082575437354
1.2790540849264609,1.2023423158603759,1.2112345670849878,1.184402950010322
1.237404029252772,1.2425320605681618,1.2178956661963138,1.2392027960390428
1.2272730330466448,1.205888504614088,1.2517486022448,1.2479208996838789
1.2122357311502099,1.2011537670019088,1.2419322177580439,1.2423433845421938
1.2199196597612219,1.250129871216557,1.225432260433159,1.2428820268028788
1.21970694033181,1.197010721002112,1.2445405722289817,1.183404237561327
1.249093802408388,1.212240649704131,1.266254404782123,1.2309907923135799
1.2453477270955229,1.2056712683128268,1.3070444345534928,1.234211001419709
1.2009272512548719,1.2107389915248419,1.2213289114566628,1.256249705415961
1.199912241269824,1.1884131650610759,1.2232082054584867,1.242308262549646
1.2146774626555679,1.2490522576222038,1.2474419577624118,1.2351927407674108
1.201538673620707,1.242034953499339,1.2454093530150048,1.2611087413195958
1.2372257241112838,1.195625613306862,1.1803398920270778,1.2328663255949739
1.2284823469317567,1.18303974346001,1.1889344467461138,1.1986856295489838
1.2478539680761678,1.2244056383017219,1.247495284168894,1.285095147465512
1.2019366740419848,1.1879215345189849,1.2686194787711118,1.2568420289533568
1.2201892956907359,1.221072908150326,1.283184785245175,1.2503357353205888
1.2691437702543988,1.252242948821907,1.239683952737988,1.2475759955895178
1.4795471370656859,1.4595217114369836,1.4493309379705288,1.463678555595189
1.4438239241784188,1.4347765777561998,1.423651147740013,1.4654991522879905
1.476827499856377,1.4489531890153218,1.4702739376326912,1.4678052968057416
1.4630954906290907,1.3983307893192258,1.3822954230999538,1.4813524025916123
1.4235117826934478,1.3785834619374868,1.4270787056667988,1.4576288472868926
1.4785991547246031,1.3941797048439097,1.3969681781334558,1.3797247361491929
